Topic,Video title,Link,Channel,Found via,Source page file,Video ID
Hardware: Input,How Do Barcodes Work | Earth Science,https://www.youtube.com/watch?v=VbHzx4nWqWY,BBC Earth Science,Playlist: Grd 10 IT Hardware Cameras Scanners OCR,hw_input.php,VbHzx4nWqWY
Hardware: Input,How Do Barcodes Work?,https://www.youtube.com/watch?v=pfeVckbQxdQ,sciBRIGHT,Playlist: Grd 10 IT Hardware Cameras Scanners OCR,hw_input.php,pfeVckbQxdQ
Hardware: Input,How do digital cameras work? | James May Q&A | Head Squeeze,https://www.youtube.com/watch?v=Ic0czeUJrGE,BBC Earth Science,Playlist: Grd 10 IT Hardware Cameras Scanners OCR,hw_input.php,Ic0czeUJrGE
Hardware: Input,How Do Driverless Cars Work? | Earth Science,https://www.youtube.com/watch?v=ZqRTVhiEiII,BBC Earth Science,Playlist: IT Grd 10 Hardware - Sensors & GPS,hw_input.php,ZqRTVhiEiII
Hardware: Input,How Do Scanners Work?,https://www.youtube.com/watch?v=OpBDTjw9yho,Techquickie,Playlist: Grd 10 IT Hardware Cameras Scanners OCR,hw_input.php,OpBDTjw9yho
Hardware: Input,How Does Fingerprint Scanning Work?,https://www.youtube.com/watch?v=oCY5sPkkaTM,Techquickie,Playlist: Grd 10 IT Hardware Biometrics,hw_input.php,oCY5sPkkaTM
Hardware: Input,How Does GPS Work?,https://www.youtube.com/watch?v=FU_pY2sTwTA,sciBRIGHT,Playlist: IT Grd 10 Hardware - Sensors & GPS,hw_input.php,FU_pY2sTwTA
Hardware: Input,How Does GPS Work? | Mashable Explains,https://www.youtube.com/watch?v=2iAgggixkO8,Mashable,Playlist: IT Grd 10 Hardware - Sensors & GPS,hw_input.php,2iAgggixkO8
Hardware: Input,How does NFC work? | Near Field Communication Explained,https://www.youtube.com/watch?v=WVmd0UYo9WM,Science everywhere!,Playlist: IT Grd 10 Hardware - Sensors & GPS,hw_input.php,WVmd0UYo9WM
Hardware: Input,How Does Optical Character Recognition (OCR) Work?,https://www.youtube.com/watch?v=jO-1rztr4O0,Techquickie,Playlist: Grd 10 IT Hardware Cameras Scanners OCR,hw_input.php,jO-1rztr4O0
Hardware: Input,How does your smartphone know your location? - Wilton L. Virgo,https://www.youtube.com/watch?v=70cDSUI4XKE,TED-Ed,Playlist: IT Grd 10 Hardware - Sensors & GPS,hw_input.php,70cDSUI4XKE
Hardware: Input,How everything works: Tap And Pay,https://www.youtube.com/watch?v=T-IYgH3CjNQ,Strange Thoughts,Playlist: Grd 10 IT Hardware RFID,hw_input.php,T-IYgH3CjNQ
Hardware: Input,How Motion Control Works In Video Games,https://www.youtube.com/watch?v=3di9wciAUt0,GamingBolt,Embedded on the page,hw_input.php,3di9wciAUt0
Hardware: Input,How QWERTY conquered keyboards,https://www.youtube.com/watch?v=c8f6us-Sjlo,Vox,Embedded on the page,hw_input.php,c8f6us-Sjlo
Hardware: Input,I Put A Payment Chip In My Hand To Replace My Wallet,https://www.youtube.com/watch?v=hTBJ6OIGkzc,BuzzFeedVideo,Playlist: Grd 10 IT Hardware RFID,hw_input.php,hTBJ6OIGkzc
Hardware: Input,Image Sensors as Fast As Possible,https://www.youtube.com/watch?v=2ZXamWYdUgQ,Techquickie,Playlist: Grd 10 IT Hardware Cameras Scanners OCR,hw_input.php,2ZXamWYdUgQ
Hardware: Input,Introduction to Machine Vision - Part1,https://www.youtube.com/watch?v=TTnho9-i6dI,Automation.com,Playlist: Grd 10 IT Hardware Cameras Scanners OCR; Playlist: IT Grd 10 Hardware - Sensors & GPS,hw_input.php,TTnho9-i6dI
Hardware: Input,Is RFID Protection Necessary? | Understanding the Risks & Realities,https://www.youtube.com/watch?v=oIhdFFPiG_w,Trip Astute,Playlist: Grd 10 IT Hardware RFID,hw_input.php,oIhdFFPiG_w
Hardware: Input,Killing the Need for Passwords With Biometrics,https://www.youtube.com/watch?v=88Rjg8gM_DI,Bloomberg Originals,Playlist: Grd 10 IT Hardware Biometrics,hw_input.php,88Rjg8gM_DI
Hardware: Input,Motion Sensors as Fast As Possible,https://www.youtube.com/watch?v=cK3bAstRghw,Techquickie,Playlist: IT Grd 10 Hardware - Sensors & GPS,hw_input.php,cK3bAstRghw
Hardware: Input,NextDesk Review: Motorized Desk!,https://www.youtube.com/watch?v=wsN6AHN2FbM,Marques Brownlee,Playlist: IT Grd 10 Ergonomics,hw_input.php,wsN6AHN2FbM
Hardware: Input,NFC Ring Review NEAR!! field communication,https://www.youtube.com/watch?v=GICEdDJ38d8,RootJunky,Playlist: Grd 10 IT Hardware RFID,hw_input.php,GICEdDJ38d8
Hardware: Input,OCR - Google Drive Tutorial,https://www.youtube.com/watch?v=4lApeCNK6Ic,Teacher's Tech,Playlist: Grd 10 IT Hardware Cameras Scanners OCR,hw_input.php,4lApeCNK6Ic
